Phrase	Snippet
Anys	AnyS
ANZ	ANZ
ANZAC	ANZAC
ANZSIC	ANZSIC
AOS	AOS
AP	Ap
AP	AP
APAR	APAR
Apartment	APARTMENT
APC	APC
APCC	APCC
APD	APD
APDEX	APDEX
APEX	APEX
API	API
APM	APM
App	APP
App	App
Appear	APPEAR
Appeared	APPEARED
Appender	APPENDER
Appender	Appender
Appenders	APPENDERS
Appenders	Appenders
Appendix	APPENDIX
Appl	APPL
Appl	Appl
Apple	APPLE
Apple	Apple
Applicable	APPLICABLE
Applicant	APPLICANT
Application	APPLICATION
Application	Application
Applications	APPLICATIONS
Applied	APPLIED
Applied	Applied
Applies	APPLIES
Applies	Applies
Applink	APPLINK
Applink	Applink
Appln	APPLN
Apply	APPLY
Apply	Apply
Appnt	APPNT
Appoint	APPOINT
Appoint	Appoint
Appointment	APPOINTMENT
Appointment	Appointment
Appointments	APPOINTMENTS
Appointments	Appointments
Appointmentsla	APPOINTMENTSLA
Appointmentsla	Appointmentsla
Appointmentstart	APPOINTMENTSTART
Appointmentstart	Appointmentstart
Appointmentstate	APPOINTMENTSTATE
Appointmentstate	Appointmentstate
Appointmentstatus	APPOINTMENTSTATUS
Appointmentstatus	Appointmentstatus
Appontment	Appontment
Appr	APPR
Appr	Appr
Appr	APPR
Approh	APPROH
Approh	Approh
Approv	APPROV
Approv	Approv
Approval	APPROVAL
Approval	Approval
Approve	APPROVE
Approve	Approve
Approved	APPROVED
Approved	Approved
Approver	APPROVER
Approver	Approver
Approving	APPROVING
Approx	APPROX
Approx	Approx
Approx	APPROX
Approximate	APPROXIMATE
Apprvl	APPRVL
Apps	APPS
Apps	Apps
Appstart	APPSTART
Appstart	Appstart
Appt	APPT
Appt	Appt
Apptoolbar	APPTOOLBAR
Apptoolbar	Apptoolbar
Apptype	APPTYPE
Apptype	Apptype
Apr	APR
April	APRIL
APRM	APRM
APSD	APSD
Apt	APT
Apt	Apt
APT	APT
AQ	AQ
AQL	AQL
AR	AR
Arc	ARC
Arc	Arc
Arch	ARCH
Arch	Arch
Architecture	ARCHITECTURE
Archive	ARCHIVE
Archive	Archive
Archived	ARCHIVED
Archived	Archived
Archivedaemon	ARCHIVEDAEMON
Archivedaemon	Archivedaemon
Archivedate	ARCHIVEDATE
Archivedate	Archivedate
Archivedb	ARCHIVEDB
Archivedb	Archivedb
Archivedby	ARCHIVEDBY
Archiver	ARCHIVER
Archiver	Archiver
Ardnes	ARDNES
Ardnes	Ardnes
Are	ARE
Are	Are
Area	AREA
Area	Area
Areas	AREAS
Areas	Areas
ARFS	ARFS
Args	Args
Args	ARGS
Argument	ARGUMENT
Argument	Argument
Arguments	ARGUMENTS
Arguments	Arguments
ARIS	ARIS
Around	AROUND
ARP	ARP
Arproj	ARPROJ
Arproj	ARProj
ARPU	ARPU
ARR	ARR
Arrangements	ARRANGEMENTS
Array	ARRAY
Array	Array
Arris	ARRIS
Arrival	ARRIVAL
Arrow	ARROW
Arrow	Arrow
Article	ARTICLE
AS	AS
As	As
As	as
ASA	ASA
ASAP	ASAP
ASAS	ASAS
ASC	ASC
Ascending	ASCENDING
Ascending	Ascending
ASDD	ASDD
Aserv	ASERV
Aserv	Aserv
ASF	ASF
Asfound	ASFOUND
Asfound	Asfound
Asgn	ASGN
Asgn	Asgn
ASI	ASI
ASIC	ASIC
Ask	ASK
Ask	Ask
ASL	ASL
Asleft	ASLEFT
Asleft	Asleft
Asloop	ASLOOP
Asloop	Asloop
Aslt	ASLT
Aslt	Aslt
ASN	ASN
Asname	ASNAME
Asname	Asname
ASP	ASP
ASR	ASR
Ass	ASS
Ass	Ass
ASS	ASS
Assembly	ASSEMBLY
Assembly	Assembly
Assess	ASSESS
Assess	Assess
Assessable	ASSESSABLE
Assessed	ASSESSED
Assessed	Assessed
Assessment	ASSESSMENT
Assessment	Assessment
Asset	ASSET
Asset	Asset
Assets	ASSETS
Assets	Assets
Assetsite	ASSETSITE
Assetsite	Assetsite
Assetsp	ASSETSP
Assetsp	Assetsp
Assetspec	ASSETSPEC
Assetspec	Assetspec
Assetsta	ASSETSTA
Assetsta	Assetsta
Assetstatus	ASSETSTATUS
Assetstatus	Assetstatus
Assign	ASSIGN
Assign	Assign
Assigned	ASSIGNED
Assigned	Assigned
Assignee	ASSIGNEE
Assignee	Assignee
Assignment	ASSIGNMENT
Assignment	Assignment
Assignments	ASSIGNMENTS
Assignments	Assignments
Assist	ASSIST
Assist	Assist
Assistant	ASSISTANT
Assists	ASSISTS
Assists	Assists
Assn	ASSN
Assn	Assn
Assoc	ASSOC
Assoc	Assoc
Assoc	ASSOC
Associate	ASSOCIATE
Associated	ASSOCIATED
Associated	Associated
Association	ASSOCIATION
Association	Association
Assocs	ASSOCS
ASSR	ASSR
Asstcde	ASSTCDE
Asstcde	Asstcde
Assurance	ASSURANCE
Assurance	Assurance
Assurnace	ASSURNACE
Assy	ASSY
Assy	Assy
AST	AST
ASTMS	ASTMS
ASTSPECMS	ASTSPECMS
Async	ASYNC
Async	Async
At	AT
At	At
ATA	ATA
ATD	ATD
ATDC	ATDC
ATHO	ATHO
Atlas	ATLAS
ATM	ATM
ATMS	ATMS
ATO	ATO
Atool	ATOOL
Atool	Atool
Atotal	ATOTAL
Atotal	Atotal
ATP	ATP
Att	ATT
Attach	ATTACH
Attach	Attach
Attached	ATTACHED
Attached	Attached
Attachement	ATTACHEMENT
Attachment	ATTACHMENT
Attachment	Attachment
Attachments	ATTACHMENTS
Attempt	ATTEMPT
Attempt	Attempt
Attempts	ATTEMPTS
Attend	ATTEND
Attendance	ATTENDANCE
Attendance	Attendance
Attendances	ATTENDANCES
Attended	ATTENDED
Attended	Attended
Attendee	ATTENDEE
Attendee	Attendee
Attendees	ATTENDEES
Attention	ATTENTION
Attention	Attention
Attn	ATTN
Attr	ATTR
Attr	Attr
Attribute	ATTRIBUTE
Attribute	Attribute
Attributes	Attributes
Attributes	ATTRIBUTES
Attributeskip	ATTRIBUTESKIP
Attributeskip	Attributeskip
Attrs	ATTRS
Attrs	Attrs
Attrsets	ATTRSETS
Auc	AUC
Auction	AUCTION
Auctioneer	AUCTIONEER
AUD	AUD
Audience	AUDIENCE
Audience	Audience
Audit	AUDIT
Audit	Audit
Auditable	AUDITABLE
Audited	AUDITED
Auditee	AUDITEE
Auditing	AUDITING
Auditor	AUDITOR
Aug	AUG
Augmentation	AUGMENTATION
August	AUGUST
AusPost	AUSPOST
AusPost	AusPost
AusPost	Auspost
Australia	AUSTRALIA
Auth	AUTH
Auth	Auth
Authentication	AUTHENTICATION
Author	AUTHOR
Author	Author
Authorisation	AUTHORISATION
Authorise	AUTHORISE
Authorised	AUTHORISED
Authority	AUTHORITY
Authority	Authority
Authorization	AUTHORIZATION
Authorization	Authorization
Authorize	AUTHORIZE
Authorized	AUTHORIZED
Authorizer	AUTHORIZER
Authorizer	Authorizer
Auto	Auto
Auto	AUTO
Automate	AUTOMATE
Automated	AUTOMATED
Automatic	AUTOMATIC
Automatically	AUTOMATICALLY
Automatically	Automatically
Automation	AUTOMATION
Automation	Automation
AUX	AUX
AV	AV
Avail	AVAIL
Avail	Avail
Available	AVAIL
Availability	AVAILABILITY
Availability	Availability
Available	Available
Available	AVAILABLE
Available	Available
Avantgo	AVANTGO
AVC	AVC
AVC-D	AVC-D
Average	AVERAGE
Average	Average
Avg	AVG
Avg	Avg
AVH	AVH
Avilability	AVILABILITY
Avilability	Avilability
AVR	AVR
Awaiting	AWAITING
Award	AWARD
Award	Award
Awarded	AWARDED
Awarded	Awarded
Aware	AWARE
Away	AWAY
AWO	AWO
AWT	AWT
Axes	AXES
Axis	AXIS
AY	AY
Azimuth	AZIMUTH
B	B
B2B	B2B
BA	BA
Back	BACK
Back	Back
Backbone	BACKBONE
Backdated	BACKDATED
Background	BACKGROUND
Backhaul	BACKHAUL
Backorder	BACKORDER
Backorder	Backorder
Backup	BACKUP
Backwards	BACKWARDS
Badge	BADGE
BAF	BAF
Bak	BAK
Bak	Bak
Bak	BAK
Bal	BAL
Balance	BALANCE
Balance	Balance
Balanced	BALANCED
Balances	BALANCES
Balances	Balances
Balancing	BALANCING
Bals	BALS
BAM	BAM
BAN	BAN
Band	BAND
Band	Band
Banded	BANDED
Bandwidth	BANDWIDTH
Bandwidth	Bandwidth
Bank	BANK
Bank	Bank
BAP	BAP
Bar	BAR
Bar	Bar
Bargaining	BARGAINING
Baropressure	BAROPRESSURE
Baropressure	Baropressure
Barrier	BARRIER
Barrier	Barrier
Base	BASE
Base	Base
Based	BASED
Based	Based
Baseline	BASELINE
Baseline	Baseline
Baselined	BASELINED
Basepath	BASEPATH
Basepath	Basepath
Bases	BASES
Basis	BASIS
Batch	BATCH
Batch	Batch
Batchable	BATCHABLE
Batches	BATCHES
Batches	Batches
Battery	BATTERY
BAU	BAU
BB	BB
BBE	BBE
Bboard	BBOARD
Bboard	Bboard
BBP	BBP
BC	BC
BCA	BCA
Bcast	BCAST
BCC	BCC
BCP	BCP
BCWP	BCWP
BCWS	BCWS
BD	BD
Be	BE
Be	Be
BEA	BEA
Bearer	BEARER
Become	BECOME
Become	Become
Bedroom	BEDROOM
Bedrooms	BEDROOMS
BEE	BEE
Been	BEEN
Been	Been
BEF	BEF
Before	BEFORE
Before	Before
Begin	BEGIN
Beginning	BEGINNING
Behalf	BEHALF
Behalf	Behalf
Behav	BEHAV
Behav	Behav
Behavior	BEHAVIOR
Behavior	Behavior
Belong	BELONG
Belongs	BELONGS
Belongs	Belongs
Ben	BEN
Ben	Ben
BEN	BEN
Bench	BENCH
Bench	Bench
Benchmark	BENCHMARK
Benchmark	Benchmark
Benefeciary	BENEFECIARY
Benefit	BENEFIT
Benefit	Benefit
BEP	BEP
BER	BER
Best	BEST
Bet	BET
Between	BETWEEN
Beyond	BEYOND
BF	BF
BFA	BFA
Bfwd	BFWD
BGP	BGP
BI	BI
BIA	BIA
Bid	BID
Bid	Bid
Bidding	BIDDING
BIDI	BIDI
Bids	BIDS
Bigger	BIGGER
Bigint	Bigint
Bigint	BIGINT
BIIARS	BIIARS
BIL	BIL
Bill	BILL
Bill	Bill
Billable	BILLABLE
Billed	BILLED
Billing	BILLING
Bin	BIN
Binary	BINARY
Binary	Binary
Binding	Binding
Binding	BINDING
BIOS	BIOS
BIP	BIP
Birth	BIRTH
Birth	Birth
Bit	BIT
Bit	Bit
Biten	BITEN
Biten	Biten
Bitstream	BITSTREAM
BIWR	BIWR
Biz	BIZ
BK	BK
BKGE	BKGE
BKP	BKP
Bl	BL
Bl	Bl
Blah	BLAH
Blank	BLANK
Blank	Blank
Blanket	BLANKET
BLD	BLD
Bldn	BLDN
Blk	BLK
Blks	BLKS
Bln	BLN
BLOB	BLOB
Blobs	BLOBS
Block	BLOCK
Block	Block
Blocks	BLOCKS
Blocks	Blocks
Blood	BLOOD
BM	BM
Bmac	BMAC
Bmaps	BMAPS
Bmaps	Bmaps
BMK	BMK
BN	BN
Bndr	BNDR
BNG	BNG
BO	BO
BO/BC	BO/BC
Boa	BOA
Board	BOARD
Board	Board
Boarded	BOARDED
Boarded	Boarded
Boarding	BOARDING
Bodily	BODILY
Body	BODY
Body	Body
BOM	BOM
Bond	BOND
Bonus	BONUS
Book	BOOK
Book	Book
Booked	BOOKED
Booked	Booked
Bookmark	BOOKMARK
Bookmark	Bookmark
Books	BOOKS
Books	Books
Bool	BOOL
Bool	Bool
Boolean	BOOLEAN
BOQ	BOQ
Border	BORDER
Border	Border
Bore	BORE
Bore	Bore
Borrowed	BORROWED
Both	BOTH
Bottom	BOTTOM
Bounce	BOUNCE
Bounced	BOUNCED
Bound	BOUND
Boundaries	BOUNDARIES
Boundary	BOUNDARY
Boundary	Boundary
Bounding	BOUNDING
Box	BOX
Box	Box
BP	BP
BPC	BPC
BPM	BPM
BPR	BPR
BQ	BQ
BR	BR
Branch	BRANCH
Branch	Branch
Branches	BRANCHES
Brand	BRAND
Brand	Brand
BRE	BRE
Breach	BREACH
Breach	Breach
Breached	BREACHED
Breached	Breached
Break	BREAK
Break	Break
Breaks	BREAKS
Bridge	BRIDGE
Brief	BRIEF
Briefing	BRIEFING
BRM	BRM
BRMP	BRMP
Broadband	BROADBAND
Broadcast	BROADCAST
Broadcast	Broadcast
Broadcasted	BROADCASTED
Broadcasted	Broadcasted
Brochure	BROCHURE
Broker	BROKER
Brokerage	BROKERAGE
Bros	BROS
Bros	Bros
Browser	BROWSER
BS	BS
BSA	BSA
BSD	BSD
BSEG	BSEG
Bsite	BSITE
BSL	BSL
BSM	BSM
BSO	BSO
BSP	BSP
BSS	BSS
Bst	BST
BSVS	BSVS
BTC	BTC
BU	BU
Bucket	BUCKET
Buckets	BUCKETS
Budget	BUDGET
Budget	Budget
Budgetary	BUDGETARY
Budgeted	BUDGETED
Budgeting	BUDGETING
Budgets	BUDGETS
Buf	BUF
Buffer	BUFFER
Buffer	Buffer
Bug	BUG
Bug	Bug
BUI	BUI
Build	BUILD
Build	Build
BuildDrops	BUILDDROPS
Builder	BUILDER
Builder	Builder
Building	BUILDING
Building	Building
Buildings	BUILDINGS
Built	BUILT
Built	Built
Bulk	BULK
Bulk	Bulk
Bulletin	BULLETIN
Bulletin	Bulletin
Bundle	BUNDLE
Bundle	Bundle
Burden	BURDEN
Burdened	BURDENED
Burdened	Burdened
Bureau	BUREAU
Burst	BURST
Bus	BUS
Bus	Bus
Business	BUSINESS
Business	Business
Businesses	BUSINESSES
Busy	BUSY
Busy	Busy
Button	BUTTON
Button	Button
Buy	BUY
Buy	Buy
Buyer	BUYER
Buyer	Buyer
BV	BV
BVPLS	BVPLS
BW	BW
BWA	BWA
BWR	BWR
By	BY
By	By
Bypass	BYPASS
Byte	BYTE
Bytes	BYTES
Bytes	Bytes
C	C
C2A	C2A
C2M	C2M
C7	C7
CA	CA
Cabinet	CABINET
Cable	CABLE
Cables	CABLES
Cables	Cables
CAC	CAC
Cache	CACHE
Cache	Cache
Caching	CACHING
Caching	Caching
CAD	CAD
Cadastre	CADASTRE
Cage	CAGE
CAGR	CAGR
Cal	CAL
Cal	Cal
CAL	CAL
Calc	CALC
Calc	Calc
Calculate	CALCULATE
Calculate	Calculate
Calculated	CALCULATED
Calculated	Calculated
Calculation	CALCULATION
Calculation	Calculation
Calculations	CALCULATIONS
Calendar	CALENDAR
Calendar	Calendar
Calendars	CALENDARS
Calendars	Calendars
Calendarservice	CALENDARSERVICE
Calendarservice	Calendarservice
Calendarslot	CALENDARSLOT
Calendarslot	Calendarslot
Calendarslots	CALENDARSLOTS
Calendarslots	Calendarslots
Calib	CALIB
Calib	Calib
Calibration	CALIBRATION
Calibration	Calibration
Call	CALL
Call	Call
Callback	CALLBACK
Callback	Callback
Called	CALLED
Caller	CALLER
Calls	CALLS
Calls	Calls
Callstack	CALLSTACK
Callstack	Callstack
Camera	CAMERA
Campaign	CAMPAIGN
Campaign	Campaign
Campaigns	CAMPAIGNS
Campaigns	Campaigns
CAMS	CAMS
Can	CAN
Can	Can
Cancel	CANCEL
Cancel	Cancel
Cancelation	CANCELATION
Canceled	CANCELED
Cancelled	CANCELLED
Cancelled	Cancelled
Candidate	CANDIDATE
Canopy	CANOPY
Cap	CAP
Cap	Cap
CAP	CAP
CAPA	CAPA
Capable	CAPABLE
Capable	Capable
Capacity	CAPACITY
Capacity	Capacity
Capactity	CAPACTITY
Capactity	Capactity
Capex	CAPEX
Capital	CAPITAL
Capital	Capital
Capitalizable	CAPITALIZABLE
Capitalizations	CAPITALIZATIONS
Capitalize	CAPITALIZE
Capitalized	CAPITALIZED
Capitalized	Capitalized
Capture	CAPTURE
Capture	Capture
Captured	CAPTURED
Captured	Captured
Captures	CAPTURES
Card	CARD
Card	Card
Cardinality	CARDINALITY
Cardinality	Cardinality
Cards	CARDS
Cards	Cards
Care	CARE
Carriage	CARRIAGE
Carried	CARRIED
Carrier	CARRIER
Carrier	Carrier
Carrying	CARRYING
Cartonization	CARTONIZATION
Cartonize	CARTONIZE
Cartridge	CARTRIDGE
Cartridge	Cartridge
CAS	CAS
Cascade	CASCADE
Cascade	Cascade
Cascaded	CASCADED
Case	CASE
Case	Case
Cases	CASES
Cases	Cases
Casesensitive	CASESENSITIVE
Casesensitive	Casesensitive
Caseshare	CASESHARE
Casesolution	CASESOLUTION
Casestatus	CASESTATUS
Cash	CASH
Cashflows	CASHFLOWS
CASL	CASL
Cast	CAST
Casting	CASTING
Casual	CASUAL
Casual	Casual
Casualty	CASUALTY
Casualty	Casualty
Casus	CASUS
Category	CAT
Category	CAT_T
Catalog	CATALOG
Catalog	Catalog
Catalogue	CATALOGUE
Categories	Categories
Categories	CATEGORIES
Categorisation	CATEGORISATION
Categorization	CATEGORIZATION
Categorization	Categorization
Category	Category
Category	CATEGORY
Category	Category
Category	CATEGORY_T
Category_Type	CATEGORY_TYPE
Catg	CATG
Cats	CATS
Catt	CATT
Catt	Catt
CATV	CATV
CAU	CAU
Cause	CAUSE
Cause	Cause
Causean	CauseAN
Causean	CAUSEAN
Caused	CAUSED
Caution	CAUTION
Caution	Caution
CB	CB
Cbl	CBL
CBS	CBS
CC	CC
Ccard	CCARD
CCF	CCF
CCM	CCM
CCMS	CCMS
CCR	CCR
CCTV	CCTV
CCVP	CCVP
Cd	Cd
CD	CD
CDA	CDA
CDC	CDC
CDM	CDM
CDN	CDN
CDOA	CDOA
CDP	CDP
CDS	CDS
CE	CE
CEI	CEI
Ceiling	CEILING
Ceilings	CEILINGS
Cell	CELL
Cell	Cell
Cellular	CELLULAR
Cement	CEMENT
Cement	Cement
Center	Center
Center	CENTER
Central	CENTRAL
Centre	CENTRE
Centre	Centre
CEO	CEO
CEP	CEP
Cert	CERT
Cert	Cert
Cert	CERT
Certeva	CERTEVA
Certeva	Certeva
Certificate	CERTIFICATE
Certificate	Certificate
Certification	CERTIFICATION
Certification	Certification
Certified	CERTIFIED
Certified	Certified
Certify	CERTIFY
Certiss	CERTISS
Certiss	Certiss
Certval	CERTVAL
Certval	Certval
Cest	CEST
Cest	Cest
CET	CET
CEV	CEV
CF	CF
Cfg	CFG
Cfg	Cfg
Cflow	CFLOW
CFM	CFM
CFS	CFS
CFW	CFW
Cfwd	CFWD
CG	CG
CH	CH
Chain	CHAIN
Chainage	CHAINAGE
CHAN	CHAN
Chance	CHANCE
Change	CHANGE
Change	Change
Changeable	CHANGEABLE
Changeable	Changeable
Changed	CHANGED
Changed	Changed
Changedate	CHANGEDATE
Changedate	Changedate
Changeddate	CHANGEDDATE
Changeddate	Changeddate
Changes	CHANGES
Changes	Changes
Changing	CHANGING
Channel	CHANNEL
Channel	Channel
Char	CHAR
Char	Char
Character	CHARACTER
Character	Character
Characteristic	CHARACTERISTIC
Characteristic	Characteristic
Characteristic	CHARACTERISTIC 
Characters	CHARACTERS
Characters	Characters
Characterset	CHARACTERSET
Characterset	Characterset
Charge	CHARGE
Charge	Charge
Chargeable	CHARGEABLE
Chargeable	Chargeable
Charged	CHARGED
Charges	CHARGES
Charges	Charges
Chars	CHARS
Charset	CHARSET
Charset	Charset
Chart	CHART
Chart	Chart
Charts	CHARTS
Charts	Charts
Chasing	CHASING
Chassis	CHASSIS
Chassis	Chassis
Chat	CHAT
Chatter	CHATTER
